program_id;program_name;raiku_category;subcategory;raiku_product;source;notes
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;Raydium V4;dex;amm;both;manual;MMs need reliable LP rebalancing (AOT) + traders need fast execution (JIT)
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;Jupiter V6;dex;aggregator;both;manual;Aggregator routing needs reliability (AOT) + traders need fast fills (JIT)
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;Orca Whirlpool;dex;clmm;both;manual;CLMM LPs need rebalancing reliability (AOT) + traders need JIT
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;Raydium CLMM;dex;clmm;both;manual;Concentrated liquidity - same logic as Orca Whirlpool
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;Pump.fun;dex;bonding_curve;potential;manual;Snipers during congestion need JIT - high volume during launches
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;Meteora DLMM;dex;dlmm;both;manual;Dynamic liquidity MMs need AOT + traders need JIT
PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY;Phoenix;dex;orderbook;both;manual;On-chain orderbook - market makers need reliable order placement (AOT) + traders (JIT)
srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX;Serum/OpenBook;dex;orderbook;potential;manual;Legacy orderbook - same logic as Phoenix but legacy
opnb2LAfJYbRMAHHvqjCwQxanZn7ReEHp1k81EQMQf8;OpenBook V2;dex;orderbook;both;manual;Orderbook DEX - market makers (AOT) + traders (JIT)
FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSOfk;FluxBeam;dex;amm;potential;manual;DEX - traders could benefit from guaranteed execution
T1pyyaTNZsKv2WcRAB8oVnk93mLJw2XzjtVYqCsaHqt;Jito Tip Payment;mev;tips;jit;solscan;Jito MEV tips - JIT searcher activity (Solscan: Jito Tip Payment)
Jito4APyf642JPZPx3hGc6WWJ8zPKtRbRs4P3e9pVSc;Jito Restaking;mev;restaking;potential;manual;Staking ops may need reliable execution for stake rebalancing
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;Drift Protocol;perps;perpetuals;both;manual;Cranking/funding settlement = AOT + traders/liquidators = JIT
ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXRas1EQ;Zeta Markets;perps;perpetuals;both;manual;Options/perps - cranking = AOT + traders = JIT
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;Perpetual Protocol;perps;perpetuals;both;manual;Perps - funding keeper = AOT + traders = JIT
So1endDq2YkqhipRh3WViPa8hFMUpXRQrETEgTcKSaJ;Solend;lending;pool;aot;manual;Lending - liquidation bots and keepers = AOT
KLend2g3cP87ber41GtWkPjXCVRKyomUr11Hpe26LhL3;Kamino Lend;lending;pool;aot;manual;Kamino - rebalance keeper = AOT
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;Marginfi;lending;pool;aot;manual;Lending - liquidation keepers = AOT
